MPG,CYL,ENG,WGT
23.799999,4,151,2855
23.9,4,119,2405
20.299999,5,131,2830
17,6,163,3140
21.6,4,121,2795
16.200001,6,163,3410
31.5,4,89,1990
29.5,4,98,2135
21.5,6,231,3245
19.799999,6,200,2990
22.299999,4,140,2890
20.200001,6,232,3265
20.6,6,225,3360
17,8,305,3840
17.6,8,302,3725
16.5,8,351,3955
18.200001,8,318,3830
16.9,8,350,4360
15.5,8,351,4054
19.200001,8,267,3605
18.5,8,360,3940
31.9,4,89,1925
34.099998,4,86,1975
35.700001,4,98,1915
27.4,4,121,2670
25.4,5,183,3530
23,8,350,3900
27.200001,4,141,3190
23.9,8,260,3420
34.200001,4,105,2200
34.5,4,105,2150
31.799999,4,85,2020
37.299999,4,91,2130
28.4,4,151,2670
28.799999,6,173,2595
26.799999,6,173,2700
33.5,4,151,2556
41.5,4,98,2144
38.099998,4,89,1968
32.099998,4,98,2120
37.200001,4,86,2019
28,4,151,2678
26.4,4,140,2870
24.299999,4,151,3003
19.1,6,225,3381
34.299999,4,97,2188
29.799999,4,134,2711
31.299999,4,120,2542
37,4,119,2434
32.200001,4,108,2265
46.599998,4,86,2110
27.9,4,156,2800
40.799999,4,85,2110
44.299999,4,90,2085
43.400002,4,90,2335
36.400002,5,121,2950
30,4,146,3250
44.599998,4,91,1850
33.799999,4,97,2145
29.799999,4,89,1845
32.700001,6,168,2910
23.700001,3,70,2420
35,4,122,2500
32.400002,4,107,2290
27.200001,4,135,2490
26.6,4,151,2635
25.799999,4,156,2620
23.5,6,173,2725
30,4,135,2385
39.099998,4,79,1755
39,4,86,1875
35.099998,4,81,1760
32.299999,4,97,2065
37,4,85,1975
37.700001,4,89,2050
34.099998,4,91,1985
34.700001,4,105,2215
34.400002,4,98,2045
29.9,4,98,2380
33,4,105,2190
33.700001,4,107,2210
32.400002,4,108,2350
32.900002,4,119,2615
31.6,4,120,2635
28.1,4,141,3230
30.700001,6,145,3160
25.4,6,168,2900
24.200001,6,146,2930
22.4,6,231,3415
26.6,8,350,3725
20.200001,6,200,3060
17.6,6,225,3465
28,4,112,2605
27,4,112,2640
34,4,112,2395
31,4,112,2575
29,4,135,2525
27,4,151,2735
24,4,140,2865
36,4,105,1980
37,4,91,2025
31,4,91,1970
38,4,105,2125
36,4,98,2125
36,4,120,2160
36,4,107,2205
34,4,108,2245
38,4,91,1965
32,4,91,1965
38,4,91,1995
25,6,181,2945
38,6,262,3015
26,4,156,2585
22,6,232,2835
32,4,144,2665
36,4,135,2370
27,4,151,2950
27,4,140,2790
44,4,97,2130
32,4,135,2295
28,4,120,2625
31,4,119,2720
